Player,Player_ID,Career_Span,Matches_Played,Runs_Conceded,Wickets_Total,Bowling_Average,Economy_Rate,Strike_Rate,Five_Wickets,Ten_Wickets
DR Tuffey (NZ),38620,2000-2010,26,2445,77,31.75,3,63.3,2,0
A Mishra (IND),31107,2008-2016,22,2715,76,35.72,3.19,67.1,1,0
OE Robinson (ENG),527776,2021-2024,20,1742,76,22.92,2.75,49.9,3,0
FH Tyson (ENG),21644,1954-1959,17,1411,76,18.56,2.45,45.4,4,1
SA Durani (IND),28118,1960-1973,29,2657,75,35.42,2.47,85.9,3,1
DW Fleming (AUS),5239,1994-2001,20,1942,75,25.89,2.82,55,3,0
BM McMillan (SA),46214,1992-1998,38,2537,75,33.82,2.51,80.6,0,0
TBA May (AUS),6534,1987-1995,24,2606,75,34.74,2.37,87.6,3,0
DN Patel (NZ),38118,1987-1997,37,3154,75,42.05,2.86,87.9,3,0
KTGD Prasad (SL),50163,2008-2015,25,2698,75,35.97,3.74,57.6,1,0
SR Watson (AUS),8180,2005-2015,59,2526,75,33.68,2.75,73.2,3,0
SL Boock (NZ),36303,1978-1989,30,2564,74,34.64,2.33,89.1,4,0
DAJ Bracewell (NZ),362541,2011-2023,28,2873,74,38.82,3.33,69.7,2,0
RB Desai (IND),28045,1959-1968,28,2761,74,37.31,2.95,75.6,2,0
H Ironmonger (AUS),5977,1928-1933,14,1330,74,17.97,1.69,63.4,4,2
CH Gayle (WI),51880,2000-2014,103,3120,73,42.73,2.63,97.3,2,0
JK Lever (ENG),16260,1976-1986,21,1951,73,26.72,2.64,60.7,3,1
IE O'Brien (NZ),38108,2005-2009,22,2429,73,33.27,3.31,60.1,1,0
RJ Ratnayake (SL),50249,1983-1992,23,2563,73,35.1,3.09,67.9,5,0
JE Root (ENG),303669,2012-2025,158,3465,73,47.46,3.35,84.9,1,0
TT Bresnan (ENG),9310,2009-2013,23,2357,72,32.73,3.02,64.9,1,0
Shahadat Hossain (BAN),56149,2005-2015,38,3731,72,51.81,4.16,74.7,4,0
L Embuldeniya (SL),848109,2019-2022,17,2611,71,36.77,3.23,68.2,5,1
DR Hadlee (NZ),37222,1969-1978,26,2389,71,33.64,2.93,68.7,0,0
K Higgs (ENG),14189,1965-1968,15,1473,71,20.74,2.14,57.9,2,0
Junaid Khan (PAK),259551,2011-2015,22,2253,71,31.73,2.93,64.8,5,0
S Madan Lal (IND),30873,1974-1986,39,2846,71,40.08,2.84,84.4,4,0
RTM Mendis (SL),629084,2021-2025,16,2212,71,31.15,3.18,58.7,5,1
RB Simpson (AUS),7619,1957-1978,62,3001,71,42.26,2.61,96.9,2,0
N Pradeep (SL),324358,2011-2017,28,3003,70,42.9,3.54,72.5,1,0
BR Knight (ENG),15910,1961-1969,29,2223,70,31.75,2.48,76.8,0,0
AR MacGibbon (NZ),37694,1951-1958,26,2160,70,30.85,2.29,80.8,1,0
BAW Mendis (SL),268739,2008-2014,19,2434,70,34.77,3.08,67.5,4,1
A Nortje (SA),481979,2019-2023,19,1870,70,26.71,3.67,43.6,4,0
DR Pringle (ENG),18627,1982-1992,30,2518,70,35.97,2.85,75.5,3,0
S Shillingford (WI),52997,2010-2014,16,2419,70,34.55,3.09,67,6,2
PA Strang (ZIM),55758,1994-2001,24,2522,70,36.02,2.64,81.7,4,1
HDPK Dharmasena (SL),48469,1993-2004,31,2920,69,42.31,2.52,100.5,3,0
CR Miller (AUS),6607,1998-2001,18,1805,69,26.15,2.64,59.2,3,1
FMM Worrell (WI),53238,1948-1963,51,2672,69,38.72,2.24,103.4,2,0
WE Bowes (ENG),9181,1932-1946,15,1519,68,22.33,2.49,53.7,6,0
Ghulam Ahmed (IND),28821,1948-1959,22,2052,68,30.17,2.17,83,4,1
